microbe,std_type,substrate_type,time,substrate_conc,replicate,signal,kill_control,assay_vol,slope,activity
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,100,3,228935.32,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,200,1,42632.73,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,200,1,120263.32,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,200,1,185416.28,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,200,1,244105.28,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,200,1,302165.25,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,200,2,43329.89,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,200,2,120590.2,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,200,2,184479.21,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,200,2,241266.2,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,200,2,298442.81,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,200,3,50810.35,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,200,3,125158.34,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,200,3,186165.75,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,200,3,243903.78,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,200,3,298530.03,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,300,1,47076.79,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,300,1,131984.84,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,300,1,201508.89,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,300,1,267456.18,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,300,1,332709.43,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,300,2,48002.16,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,300,2,134010.46,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,300,2,202764.76,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,300,2,267868.59,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,300,2,334641.09,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,300,3,50291.98,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,300,3,135714.14,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,300,3,204138.75,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.5,300,3,267520.96,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.666666667,300,3,333253.34,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0,400,1,50370.83,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.166666667,400,1,140308.73,0,0.001,,
L. rhamnosus GG,amc,l-leucine-amc,0.333333333,400,1,220437.01,0,0.001,,
